Name,Jname,Glitch #,Time of glitch (MJD),Error in time (days),dF/F (10^-9),Error in dF/F (10^-9),dF1/F1 (10^-3),Error in dF1/F1 (10^-3),Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs),dF0 (Hz),Random Mass (Solar Masses),black GW Freq. (kHz),orange GW Freq. (kHz),purple GW Freq. (kHz),black GW tau (s),orange GW tau (s),purple GW tau (s),black h0,orange h0,purple h0,black strain (Hz^0.5),orange strain (Hz^0.5),purple strain (Hz^0.5),Glitch Energy (ergs),black differentiation metric,orange differentiation metric,purple differentiation metric
J0007+7303,J0007+7303,1,54953.0,X,554.0,1,1,0.1,119.66,10.463,1.7571,73.0521,0.315873191,3.60E-13,3.1658273919999997,-3.61E-12,4.10E-23,1.4,1.39E+04,1.753868375168e-06,1.2855263120227258,1.8148362244215104,1.401549844937521,2.256838486422998,0.16041479523392865,0.15767726699599027,0.10996048612647806,5.279462312056658e-24,6.895349030650706e-24,5.1277936351176565e-24,2.114520522737189e-24,2.7380463533333903e-24,1.7003912619500125e-24,2.193215594907408e+41,0.2911265813236928,0.22099254910840227,0.24816305707601782
J0007+7303,J0007+7303,2,55466.0,X,1260.0,X,X,X,119.66,10.463,1.7571,73.0521,0.315873191,3.60E-13,3.1658273919999997,-3.61E-12,4.10E-23,1.4,1.39E+04,3.988942513919999e-06,1.2855263120227258,1.8148362244215104,1.401549844937521,2.256838486422998,0.16041479523392865,0.15767726699599027,0.10996048612647806,7.961961700610042e-24,1.0398881865110343e-23,7.733230037119843e-24,3.1889102378361193e-24,4.1292500847956606e-24,2.5643615397689924e-24,4.988179872894105e+41,0.2911265813236928,0.22099254910840227,0.24816305707601782
4U_0142+61,J0146+6145,1,51141.0,248,650.0,150,14,5,129.384,-0.431,26.5934,61.750780000000006,8.688994099999999,1.99E-12,0.115088121,-2.64E-14,*,3.6,6.91E+04,7.480727865e-08,1.4985374020023297,1.9440390258313172,1.4721379283355642,2.294483986231329,0.14470863599829034,0.13585805004167953,0.10677953809916388,7.94635087978001e-26,1.083000734880022e-25,7.837740709178572e-26,3.022838624902161e-26,3.991824504001614e-26,2.5611493873409883e-26,3.400724509096008e+38,0.28131923575549506,0.20000178833606752,0.24500394022570962
4U_0142+61,J0146+6145,2,53809.0,X,1627.0,348,11.6,0.4,129.384,-0.431,26.5934,61.750780000000006,8.688994099999999,1.99E-12,0.115088121,-2.64E-14,*,3.6,6.91E+04,1.87248372867e-07,1.4985374020023297,1.9440390258313172,1.4721379283355642,2.294483986231329,0.14470863599829034,0.13585805004167953,0.10677953809916388,1.2572013422956715e-25,1.7134279598235618e-25,1.2400180018752864e-25,4.782467870177171e-26,6.315511611008195e-26,4.052023999818604e-26,8.512275040460314e+38,0.28131923575549506,0.20000178833606752,0.24500394022570962
B0144+59,J0147+5922,1,53682.0,15,0.055999999999999994,0.003,-0.21,0.05,130.059,-2.7230000000000003,26.9360142,59.3675789,0.196321375,2.57E-16,5.093688845,-6.66E-15,3.39E-26,2.128,1.21E+07,2.8524657532000006e-10,1.439024657838636,1.9046542404925348,1.4514482854889108,2.2834499432551785,0.14775078157681373,0.14056266054888944,0.10745918392083156,5.578391945845476e-26,7.505048712610757e-26,5.456030656491012e-26,2.144242593343153e-26,2.813769383922669e-26,1.7885396437610236e-26,5.739181330188651e+37,0.28141415266636455,0.20401943265744535,0.24537766742627062
B0154+61,J0157+6212,1,48512.0,5,4.0,1,-11,6,130.586,0.326,29.4580975,62.2074022,2.351744936,1.89E-13,0.425216181,-3.42E-14,*,1.786,1.97E+05,1.7008647240000002e-09,1.3422442166867143,1.8466098559204325,1.4194603407881332,2.2663903758589137,0.15470939322182614,0.1503457325408962,0.10888723585960904,4.726722409675006e-26,6.237704151499093e-26,4.5906098535377276e-26,1.8591671590943588e-26,2.4186349566350182e-26,1.514812468476946e-26,2.8567790492307527e+37,0.2856878903268939,0.21340980474854204,0.2467809834060975
B0154+61,J0157+6212,2,58283.0,3,2.6,0.3,X,X,130.586,0.326,29.4580975,62.2074022,2.351744936,1.89E-13,0.425216181,-3.42E-14,*,1.786,1.97E+05,1.1055620705999998e-09,1.3422442166867143,1.8466098559204325,1.4194603407881332,2.2663903758589137,0.15470939322182614,0.1503457325408962,0.10888723585960904,3.810805437145869e-26,5.0289978627017574e-26,3.7010679861100215e-26,1.4989084833790697e-26,1.94996584194364e-26,1.2212808561197508e-26,1.8569063819999888e+37,0.2856878903268939,0.21340980474854204,0.2467809834060975
J0205+6449,J0205+6449,1,52555.0,8,340.0,110,5,1,130.719,3.084,31.4080103,64.82814839999999,0.06571592799999999,1.94E-13,15.2170109,-4.49E-11,5.85E-21,3.2,5.37E+03,5.173783706e-06,1.4753494770555935,1.9282859366555705,1.4639760327243505,2.290131146135998,0.1458036919057271,0.1375904395168168,0.1070289369200828,8.586148634987746e-24,1.1641957267669644e-23,8.438070264825425e-24,3.278556427544584e-24,4.318372781008708e-24,2.7605380864029e-24,3.109816160413554e+42,0.28115120861427517,0.20142910578462914,0.2451103019785067
J0205+6449,J0205+6449,2,52920.0,72,3800.0,400,12,1,130.719,3.084,31.4080103,64.82814839999999,0.06571592799999999,1.94E-13,15.2170109,-4.49E-11,5.85E-21,3.2,5.37E+03,5.782464142e-05,1.4753494770555935,1.9282859366555705,1.4639760327243505,2.290131146135998,0.1458036919057271,0.1375904395168168,0.1070289369200828,2.8704549949441165e-23,3.8920493705098754e-23,2.820950576217475e-23,1.0960617005047829e-23,1.4436850846916248e-23,9.228818036714533e-24,3.47567688516809e+43,0.28115120861427517,0.20142910578462914,0.2451103019785067
J0205+6449,J0205+6449,3,54907.0,18,1761.0,7,12,2,130.719,3.084,31.4080103,64.82814839999999,0.06571592799999999,1.94E-13,15.2170109,-4.49E-11,5.85E-21,3.2,5.37E+03,2.67971561949e-05,1.4753494770555935,1.9282859366555705,1.4639760327243505,2.290131146135998,0.1458036919057271,0.1375904395168168,0.1070289369200828,1.9540632711539786e-23,2.649514010087928e-23,1.920363120284537e-23,7.461443971939597e-24,9.827891411213873e-24,6.282521200809952e-24,1.6107018407318438e+43,0.28115120861427517,0.20142910578462914,0.2451103019785067
